court,year,sum
bcsc,1916,1.87525023113899e-05
bcsc,1918,0.000119882604631061
bcsc,1919,0.000101623082489735
bcsc,1920,6.89142876326936e-05
bcsc,1921,0.000110188620531986
bcsc,1922,0.000264138078371186
bcsc,1923,8.5864792306447e-05
bcsc,1924,3.87725592801096e-05
bcsc,1925,0.000129450586507462
bcsc,1926,3.6286247234518e-05
bcsc,1927,0.000306715341478749
bcsc,1928,0.00152047212189686
bcsc,1929,0.000907903380792436
bcsc,1930,0.000248556579518449
bcsc,1931,0.000136625244030501
bcsc,1932,0.000203797022176994
bcsc,1933,2.48423765769449e-05
bcsc,1934,3.96991097488663e-05
bcsc,1935,7.86530937763372e-05
bcsc,1936,0.000184982401066345
bcsc,1937,0.00124024464682898
bcsc,1938,0.000109253932203163
bcsc,1939,0.000818657723271224
bcsc,1940,0.000341194119867439
bcsc,1941,0.00017669227258903
bcsc,1942,0.000162822378090579
bcsc,1943,0.00140053188393844
bcsc,1944,0.000367927564615581
bcsc,1945,0.00019544703556947
bcsc,1946,0.000508324845782633
bcsc,1947,0.000116463848233574
bcsc,1948,0.000324737226346962
bcsc,1949,0.000283790188845337
bcsc,1950,0.000625897477479201
bcsc,1951,0.000494938885052351
bcsc,1952,0.000753155332939978
bcsc,1953,0.00122167217425423
bcsc,1954,0.00750551147328761
bcsc,1955,0.000858953507478418
bcsc,1956,0.000801981148521292
bcsc,1957,0.000769386383992677
bcsc,1958,0.00152276097370914
bcsc,1959,0.00167204611657491
bcsc,1960,0.00118395487218975
bcsc,1961,0.00161323946996503
bcsc,1962,0.00148509611064561
bcsc,1963,0.00323532719287524
bcsc,1964,0.00151606594542382
bcsc,1965,0.00265757937148987
bcsc,1966,0.000606965946473557
bcsc,1967,0.00167075587741968
bcsc,1968,0.00576014787604067
bcsc,1969,0.00241870269471482
bcsc,1970,0.00276202097810525
bcsc,1971,0.00348725825932407
bcsc,1972,0.00598753447794654
bcsc,1973,0.00430125335023213
bcsc,1974,0.00776805473142383
bcsc,1975,0.00755154758795624
bcsc,1976,0.00702056620394583
bcsc,1977,0.0101879678413816
bcsc,1978,0.00809153085273992
bcsc,1979,0.0131139015507391
bcsc,1980,0.0118504178632185
bcsc,1981,0.015216953734141
bcsc,1982,0.0204176151198545
bcsc,1983,0.0245167387714637
bcsc,1984,0.0234503683888669
bcsc,1985,0.0734364787616317
bcsc,1986,0.0687712614420183
bcsc,1987,0.0314015698668125
bcsc,1988,0.028688055109635
bcsc,1989,0.026614011624646
bcsc,1990,0.0340699746289944
bcsc,1991,0.0461835976090889
bcsc,1992,0.0519626932819957
bcsc,1993,0.0443445902290632
bcsc,1994,0.0283582776350877
bcsc,1995,0.0396000066793275
bcsc,1996,0.0770295575140886
bcsc,1997,0.0735187131298228
bcsc,1998,0.0847575072369904
bcsc,1999,0.077213046788481
bcsc,2000,0.227245293285142
bcsc,2001,0.26425553526604
bcsc,2002,0.284006797023955
bcsc,2003,0.323957440833275
bcsc,2004,0.283344688478886
bcsc,2005,0.317167194753199
bcsc,2006,0.373594460893984
bcsc,2007,0.438568522399371
bcsc,2008,0.545589653924403
bcsc,2009,0.455130685714076
bcsc,2010,0.496003924673914
bcsc,2011,0.638502777324041
bcsc,2012,0.567374042739944
bcsc,2013,0.595153829874102
bcsc,2014,0.546370136812517
bcsc,2015,0.436724233629894
bcsc,2016,0.4408070639888
bcsc,2017,0.410079933579333
bcsc,2018,0.34370973598328
bcsc,2019,0.170791661071747
bcsc,2020,0.0507930223659343
fca,1971,0.000139890633823162
fca,1972,0.00169502897079649
fca,1973,0.00157257626792891
fca,1974,0.00143276279953065
fca,1975,0.00505391375499841
fca,1976,0.00200197397895061
fca,1977,0.00322763476946942
fca,1978,0.00353902171871754
fca,1979,0.00621451807087765
fca,1980,0.00551854611059712
fca,1981,0.00450833193967497
fca,1982,0.00493926658852322
fca,1983,0.0108209229384929
fca,1984,0.0113602936537028
fca,1985,0.0222732103226368
fca,1986,0.0166845725411587
fca,1987,0.0281400563739913
fca,1988,0.0202062623829366
fca,1989,0.0206132909243038
fca,1990,0.0498099756427659
fca,1991,0.0186733955816774
fca,1992,0.0437577767510079
fca,1993,0.0796088430331076
fca,1994,0.0586042046034222
fca,1995,0.0367395445609142
fca,1996,0.0540061460280274
fca,1997,0.0673470504625879
fca,1998,0.0532778242079395
fca,1999,0.096902336480608
fca,2000,0.14999976770619
fca,2001,0.101742159089336
fca,2002,0.165259467796859
fca,2003,0.180276066919991
fca,2004,0.170659264066034
fca,2005,0.21953804170197
fca,2006,0.181605201713608
fca,2007,0.16814536237227
fca,2008,0.296329163450105
fca,2009,0.305418655625097
fca,2010,0.248412875308161
fca,2011,0.344125351782027
fca,2012,0.294168710005349
fca,2013,0.259835613943918
fca,2014,0.339212169877677
fca,2015,0.442984936739126
fca,2016,0.446957958851581
fca,2017,0.404097189760609
fca,2018,0.382689833824295
fca,2019,0.379585446427296
fca,2020,0.289805874843745
fca,2021,0.0140803264864441
fct,1912,4.80759551596954e-08
fct,1913,3.60042699661601e-05
fct,1914,8.6501266090191e-05
fct,1915,8.02018275695609e-06
fct,1916,0.000106279379066063
fct,1917,0.00010825062348233
fct,1918,4.67060341609602e-06
fct,1919,5.53596251543843e-06
fct,1920,8.24278727926685e-05
fct,1921,0.000176018513116302
fct,1922,7.7674177241878e-05
fct,1923,5.97066404660275e-06
fct,1924,1.58200586576869e-05
fct,1926,0.000129520662004334
fct,1927,0.000217849819230435
fct,1928,7.4436782124112e-05
fct,1929,5.34535362971772e-05
fct,1930,0.000482583899805769
fct,1931,0.000182414685962299
fct,1933,4.17652504202971e-06
fct,1934,5.01655137982287e-05
fct,1935,6.44664877165782e-06
fct,1936,0.000139634007636331
fct,1937,0.000136131336623921
fct,1938,0.000216211925628209
fct,1939,0.000123179174984397
fct,1940,5.74236492310942e-05
fct,1941,0.000144987363888997
fct,1942,2.33998977312513e-05
fct,1943,0.000463660139006643
fct,1944,0.000299720294769856
fct,1945,6.55638595719089e-05
fct,1946,0.000319538749325703
fct,1947,0.000504213473111457
fct,1948,0.00013701509607436
fct,1949,9.57379380777995e-05
fct,1950,0.000480929660878318
fct,1951,0.000164958307472583
fct,1952,7.70972767653498e-05
fct,1953,0.000280597455585777
fct,1954,6.34268014814955e-05
fct,1955,4.05647213305855e-05
fct,1956,7.0232555516628e-06
fct,1957,0.000963419771480447
fct,1959,0.000117746294501846
fct,1960,0.000122836817944897
fct,1961,3.87102288255334e-05
fct,1962,9.63837204555476e-06
fct,1963,4.29908762841671e-05
fct,1964,4.02610941453879e-05
fct,1965,1.03659576556034e-05
fct,1966,8.58089023321437e-05
fct,1967,0.000134128143538103
fct,1968,4.5110413545361e-05
fct,1970,0.000845786069570473
fct,1971,0.00174190224664316
fct,1972,0.000405553929968537
fct,1973,0.000911346362415482
fct,1974,0.00287777936870546
fct,1975,0.00328774824781209
fct,1976,0.001121004668499
fct,1977,0.00383918552056851
fct,1978,0.0038065507040792
fct,1979,0.00528235620467415
fct,1980,0.00368018249767882
fct,1981,0.0035410894115085
fct,1982,0.00248117598746768
fct,1983,0.00130662150767177
fct,1984,0.013005543416068
fct,1985,0.014284935972909
fct,1986,0.0120555331705223
fct,1987,0.0117096235010652
fct,1988,0.0108030489132086
fct,1989,0.0058797825008211
fct,1990,0.0116142797436833
fct,1991,0.00909258293804239
fct,1992,0.0179800255919323
fct,1993,0.0379369012706179
fct,1994,0.0740604435668532
fct,1995,0.0562962849171417
fct,1996,0.0897553082768977
fct,1997,0.120221804809608
fct,1998,0.11758451989089
fct,1999,0.15987186842635
fct,2000,0.162091743222502
fct,2001,0.261344272926639
fct,2002,0.202725818047228
fct,2003,0.307815059117297
fct,2004,0.455196453323832
fct,2005,0.563949082331636
fct,2006,0.690317365541348
fct,2007,0.572815181392267
fct,2008,1.15479765314667
fct,2009,1.32484007037256
fct,2010,1.3244111522004
fct,2011,1.15625853313484
fct,2012,1.20525666424261
fct,2013,0.926670279916748
fct,2014,0.972840667228793
fct,2015,0.836861790680498
fct,2016,0.564251821786991
fct,2017,0.4492693439895
fct,2018,0.333569739441102
fct,2019,0.141448335317352
fct,2020,0.0193811632338912
nsca,1912,0.000196233166318739
nsca,1913,0.000196439393116125
nsca,1914,0.000247490639624443
nsca,1915,9.49221436454562e-05
nsca,1916,0.000160765043575033
nsca,1917,0.000229453898839333
nsca,1918,3.06259486442281e-05
nsca,1919,0.000122890074359398
nsca,1920,0.000367287149796207
nsca,1921,3.71598853498086e-05
nsca,1922,8.33376554118625e-05
nsca,1923,0.00010098305170015
nsca,1924,0.000287463617639274
nsca,1925,4.45094452301322e-06
nsca,1926,0.000125957034023656
nsca,1927,5.70362811970025e-05
nsca,1928,0.000293494946831463
nsca,1929,0.000243437474243163
nsca,1930,0.000120358328157513
nsca,1931,0.000223482747216073
nsca,1932,8.31660467208967e-05
nsca,1933,1.36787280882341e-05
nsca,1934,9.24742521941654e-05
